artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,type,duration,year,month,day_of_the_week
Master KG,Jerusalema (feat. Burna Boy & Nomcebo Zikode) - Remix / Radio Edit,4QgChiyKY0lJnL3YylZC8Y,Jerusalema (feat. Burna Boy & Nomcebo Zikode) [Remix],1HBjNCWaJ2SzolwRxedA9z,2020-07-09,34.0,False,0.817,0.511,C#/Db,-7.476,Major,0.0448,0.0348,5.5e-05,0.086,0.761,124.014,4.0,"Nomcebo Zikode, Burna Boy",Feature,03:54,2020,July,Thursday
Harmonize,Kainama (feat. Burna Boy & Diamond Platnumz),3UAPDid23g2jFZZaMcU7Ef,Afro Bongo,63W82BocZMEKFzg4q6T7DY,2019-02-25,38.0,False,0.888,0.752,D,-5.863,Minor,0.0971,0.183,0.0,0.0666,0.918,104.962,4.0,"Burna Boy, Diamond Platnumz",Feature,03:33,2019,February,Monday
Burna Boy,Killin Dem (feat. Zlatan),3a7ziOOO3Cbuv6BMXrj0wU,African Giant,34vlTd4355ddD4q9pPsoqF,2019-07-25,41.0,False,0.793,0.862,C#/Db,-5.122,Minor,0.14,0.115,0.0125,0.131,0.617,112.903,4.0,Zlatan,Album,03:41,2019,July,Thursday
Burna Boy,Kilometre,03YUNUpazIbzwqJq2YSBvB,"Love, Damini",6kgDkAupBVRSqbJPUaTJwQ,2022-07-07,52.0,False,0.852,0.666,A,-6.065,Major,0.107,0.0158,2.59e-05,0.0588,0.648,103.007,4.0,,Album,02:32,2022,July,Thursday
Burna Boy,Koni Baje,6rXpYgRSOYuRtzlDr5WVqc,Outside,26du6obYLeY1vf6xIJ1l0D,2018-01-26,27.0,True,0.691,0.787,C#/Db,-5.763,Major,0.0913,0.299,0.00268,0.036,0.967,179.849,3.0,,Album,03:23,2018,January,Friday
Yonda,Las Vegas - Remix,3VJvxhg5LulQ9ElyKNwhls,Las Vegas,7ukfc78lSyiPf6rzQt4Aij,2017-05-05,34.0,False,0.761,0.687,G#/Ab,-6.324,Minor,0.117,0.0683,0.0,0.11,0.839,110.925,4.0,Burna Boy,Feature,03:16,2017,May,Friday
Burna Boy,Last Last,57DarSfRMIVRCeDBGW0l5S,"Love, Damini",53s3xfNBbh5Z0Xv9IXjvi4,2022-07-06,67.0,False,0.795,0.565,D#/Eb,-4.457,Minor,0.0948,0.131,0.0,0.0802,0.55,87.925,4.0,,Album,02:52,2022,July,Wednesday
Show Dem Camp,Legend,6t3JrxGqKRREAQq0hL5Cb8,Palmwine Music 2,7Bo2YlDs1Q9PP3WMGGUZiv,2018-10-15,0.0,False,0.792,0.678,F#/Gb,-8.245,Minor,0.0636,0.644,0.0325,0.125,0.963,102.988,4.0,Burna Boy,Feature,03:46,2018,October,Monday
Abra Cadabra,Lemme At Em,35quWVp73u2wDebMlnjAhy,Lemme At Em,5y9zpYGhHWgWwlg6e33YNg,2017-09-15,16.0,True,0.793,0.845,C,-4.56,Minor,0.19,0.138,8.57e-06,0.11,0.651,104.965,4.0,"Burna Boy, Jelani Blackman, FRED",Feature,03:34,2017,September,Friday
Bnxn,Lenu - Remix,51trdVTGB18HFEsb8dEzq1,Lenu (Remix),0XPpgvyG25SbLEcKvAMinb,2020-04-16,53.0,False,0.784,0.552,F#/Gb,-4.44,Minor,0.143,0.678,0.00113,0.112,0.54,112.923,4.0,Burna Boy,Feature,03:33,2020,April,Thursday
Burna Boy,Level Up (Twice As Tall) [feat. Youssou N'Dour],1djCgiQcqe5JnZS61KYNpD,Twice As Tall,218CJKDCszsQQj7Amk7vIu,2020-08-13,35.0,True,0.518,0.326,C,-12.628,Major,0.371,0.526,0.0,0.544,0.366,85.928,4.0,Youssou NDour,Album,04:28,2020,August,Thursday
Burna Boy,Like to Party,42wkLJPPut34BBByK3zqR1,Like to Party,4vnXEGlXk7nCBnP4OPRN4d,2012-05-30,41.0,False,0.452,0.718,G,-6.972,Major,0.341,0.136,0.0,0.121,0.758,109.454,3.0,,Single,04:06,2012,May,Wednesday
Phyno,Link Up (feat. MI & Burna Boy),0GCEWFJQcEhpLbdp49SJL8,The Playmaker,2FigjVsYs2rOLoEz2aVvg9,2016-11-01,0.0,True,0.538,0.802,A#/Bb,-3.021,Minor,0.251,0.245,0.0,0.0815,0.716,151.899,4.0,"MI, Burna Boy",Feature,03:38,2016,November,Tuesday
Jidenna,Little Bit More (feat. Burna Boy) - Remix,74UoD2itDLElksjzTFwL5Y,Boomerang,1BQhMEiv7bLPI7wLAdHsn9,2017-11-10,24.0,False,0.749,0.744,B,-4.839,Major,0.034,0.0878,1.24e-05,0.308,0.632,105.016,4.0,Burna Boy,Feature,03:26,2017,November,Friday
Dave,Location (feat. Burna Boy),3z4CGd63tpUn9a6oQSG0CI,PSYCHODRAMA,4GrFuXwRmEBJec22p58fsD,2019-03-08,73.0,True,0.812,0.496,A,-5.969,Minor,0.297,0.271,0.0,0.0955,0.55,109.979,4.0,Burna Boy,Feature,04:01,2019,March,Friday
Burna Boy,"Love, Damini (feat. Ladysmith Black Mambazo)",0KRrOQfFl8nQ4DuIAPnlYP,"Love, Damini",6kgDkAupBVRSqbJPUaTJwQ,2022-07-07,33.0,True,0.537,0.132,D#/Eb,-11.949,Major,0.313,0.662,0.0,0.0752,0.567,170.336,4.0,Ladysmith Black Mambazo,Album,02:22,2022,July,Thursday
Justin Bieber,Loved By You (feat. Burna Boy),2tB9OFgAHjAds3cqquLlvp,Justice,5dGWwsZ9iB2Xc3UKR0gif2,2021-03-19,61.0,False,0.79,0.724,C#/Db,-6.972,Major,0.0852,0.0696,2.33e-06,0.113,0.642,101.04,4.0,Burna Boy,Feature,02:39,2021,March,Friday
Burna Boy,Ma Loda Ma Motto,5cK17mYRw3WVZJBT7iHGOh,L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),5t1QPMQ3ssvP9gLLRPIckA,2013-08-12,18.0,False,0.748,0.854,F#/Gb,-4.714,Major,0.0626,0.191,0.00755,0.0705,0.963,132.017,4.0,,Album,03:04,2013,August,Monday
J Hus,Masculine (feat. Burna Boy),4M6yrN4rJUrwNgHzGKfrN1,Beautiful And Brutal Yard,766bxryPZBL0hjz0KM6VUD,2023-07-14,54.0,True,0.675,0.66,G,-5.977,Major,0.291,0.179,2.01e-05,0.127,0.713,66.98,5.0,Burna Boy,Feature,03:24,2023,July,Friday
Sidhu Moose Wala,Mera Na,0TlGvDUBcIUGZOroftyVF4,Mera Na,6sUoLxSldFKFctJW8ocYh1,2023-04-07,53.0,False,0.753,0.477,D,-7.739,Minor,0.0685,0.542,3.73e-05,0.107,0.527,83.485,4.0,"Burna Boy, Steel Banglez",Feature,03:21,2023,April,Friday
Burna Boy,Mi O Ni Gba,4mbYXlSlHtpmxdu9P5cfMu,On a Spaceship,4tjD2jPZdPe3nqop8En6zb,2015-11-25,16.0,False,0.682,0.933,F#/Gb,-5.595,Minor,0.0643,0.106,0.0,0.0641,0.885,126.979,4.0,,Album,02:58,2015,November,Wednesday
Mr Eazi,Miss You Bad,3o8cpHgLK9x0G5eB1UusOQ,"Life is Eazi, Vol. 2 - Lagos To London",6xCY9TWQBggZtKVoySGpEO,2018-11-09,0.0,False,0.739,0.755,F#/Gb,-5.112,Major,0.121,0.181,1.05e-06,0.128,0.547,100.056,4.0,Burna Boy,Feature,02:56,2018,November,Friday
Burna Boy,Money Play,3pT8fDZOicDErgzLG1UVPX,Money Play,4UNo1eqCHs5xapq3JPAQgO,2019-12-24,35.0,False,0.88,0.633,C,-11.812,Major,0.182,0.235,0.0101,0.194,0.591,106.041,4.0,,Single,03:03,2019,December,Tuesday
Burna Boy,Monsters You Made (feat. Chris Martin),2cerDm5EbuTNJ68EIMtrF2,Twice As Tall,218CJKDCszsQQj7Amk7vIu,2020-08-13,34.0,True,0.671,0.646,G,-7.513,Minor,0.195,0.272,0.0,0.405,0.355,142.0,4.0,Chris Martin,Album,03:37,2020,August,Thursday
R2Bees,My Baby,4nrfaxl7yXvfd1L7cccMa3,Site 15,4uI60dVqyZ6pVU36oUb0j2,2019-03-01,24.0,False,0.788,0.555,A,-5.447,Minor,0.0588,0.0539,4.79e-06,0.0976,0.639,99.995,4.0,Burna Boy,Feature,03:21,2019,March,Friday
Burna Boy,"My Money, My Baby - From ""Queen & Slim: The Soundtrack""",7gOb1BmKmG4EYw7lAePO1c,Queen & Slim: The Soundtrack,3KkAi988nPkzw0FOrXTBfM,2019-11-15,30.0,False,0.857,0.664,C#/Db,-6.189,Major,0.0856,0.00519,0.000492,0.134,0.637,118.972,4.0,,Feature,03:04,2019,November,Friday
Sam Smith,My Oasis (feat. Burna Boy),2KoHxhRyWxJzA0VafWd5Nk,My Oasis (feat. Burna Boy),2eBIVchjZqWwwe7P8OmY0Q,2020-07-30,53.0,False,0.691,0.474,A#/Bb,-8.742,Minor,0.0583,0.569,0.000626,0.099,0.381,143.783,4.0,Burna Boy,Feature,02:59,2020,July,Thursday
Four of Diamonds,Name On It (feat. Burna Boy),6wQugAr2CdLrjvACWNSvv5,Name On It,71UHFVp0KFVh3T1JrpKkQV,2018-06-14,18.0,False,0.721,0.636,C#/Db,-5.685,Minor,0.0618,0.0789,0.00265,0.109,0.469,101.009,4.0,Burna Boy,Feature,03:34,2018,June,Thursday
Duncan Mighty,Nibolowa,2uEFUXu4WuTgTqm9d7q8lN,Nibolowa,45EMsBXvKwCKheLUnGE12K,2021-08-16,0.0,False,0.654,0.612,B,-5.056,Major,0.105,0.633,0.00192,0.113,0.742,97.965,4.0,Burna Boy,Feature,04:31,2021,August,Monday
Phyno,No Be My Style (feat. Burna Boy),5e27MUXsebYGd5BfJc1rsn,The Playmaker,2FigjVsYs2rOLoEz2aVvg9,2016-11-01,0.0,True,0.638,0.824,D,-3.796,Minor,0.196,0.557,0.0,0.0541,0.817,92.834,4.0,Burna Boy,Feature,04:21,2016,November,Tuesday
Burna Boy,No Fit Vex,5CUVCOC6mnZoBFqdkdYrDH,Twice As Tall,218CJKDCszsQQj7Amk7vIu,2020-08-13,31.0,False,0.771,0.656,G#/Ab,-8.225,Major,0.279,0.217,2.43e-05,0.224,0.415,95.939,4.0,,Album,03:41,2020,August,Thursday
DJ Snake,No Option (feat. Burna Boy),4lDYedHtcFwkMTVwpdSRUN,Carte Blanche,2MFS6WG6jnPAgvJpV3PehR,2019-07-25,36.0,True,0.631,0.877,F,-4.072,Minor,0.0347,0.00837,1.18e-05,0.204,0.879,150.15,4.0,Burna Boy,Feature,03:05,2019,July,Thursday
Burna Boy,Normal,4EDMfKmlvrDemvJBcoZvHk,I Told Them...,1JzjwUKkPsdHg1SQ7qa5hc,2023-08-24,45.0,False,0.609,0.718,G,-7.438,Major,0.43,0.474,2.35e-06,0.432,0.79,67.266,5.0,,Album,02:04,2023,August,Thursday
Burna Boy,Odogwu,5jeFguGsmlRXUj66Z94JOJ,Odogwu,19JGoIUmAKqUPCegVYepEA,2020-02-21,40.0,False,0.708,0.493,F,-9.806,Major,0.137,0.684,0.000206,0.0611,0.864,191.877,4.0,,Single,03:05,2020,February,Friday
Burna Boy,Oluwa Burna,2zdXoKWK2q3jWbKYGH4K13,On a Spaceship,4tjD2jPZdPe3nqop8En6zb,2015-11-25,21.0,False,0.745,0.75,G,-6.93,Major,0.0428,0.0768,0.00647,0.0501,0.49,103.05,4.0,,Album,02:59,2015,November,Wednesday
Burna Boy,Omo,1Cycl2DgETYTzDiDBgFeeF,African Giant,79lrrUvUyIuOD12b5taQVP,2019-07-24,50.0,True,0.895,0.718,D,-4.579,Minor,0.0581,0.246,1.45e-05,0.0892,0.88,100.036,4.0,,Album,02:27,2019,July,Wednesday
Olamide,Omo Wobe Anthem (feat. Burna Boy),0iwBoMUJq7A3xbIIYH2B8n,The Glory,6z6r9RgyDDp35cfOAixpvq,2016-12-26,30.0,True,0.767,0.805,G,-2.992,Major,0.146,0.0425,0.0,0.147,0.784,107.803,4.0,Burna Boy,Feature,03:07,2016,December,Monday
Burna Boy,On Form,3SYsWlqIe7fL0PJc0rpMeC,I Told Them...,51r39Gm18d7yIS3PC1QD8B,2023-08-23,47.0,False,0.846,0.79,C#/Db,-5.719,Major,0.111,0.0217,0.0156,0.275,0.65,103.026,4.0,,Album,03:43,2023,August,Wednesday
Maxi,On My Way,316tSU0A4xdZFz4WYVLzZu,On My Way,5gMxzqk5zJ3bjzmHBiVeeE,2020-02-22,0.0,False,0.484,0.849,A#/Bb,-2.263,Minor,0.289,0.182,0.0,0.418,0.925,134.602,5.0,"Burna Boy, Marvellous Benjy",Feature,04:13,2020,February,Saturday
Burna Boy,On a Very Good Day (feat. Wande Coal),1wsWPqvz0Yc4YhyMdEHJcB,On a Spaceship,4tjD2jPZdPe3nqop8En6zb,2015-11-25,19.0,False,0.901,0.758,F,-4.209,Minor,0.0404,0.39,0.000484,0.165,0.706,115.944,4.0,Wande Coal,Album,03:43,2015,November,Wednesday
Burna Boy,Onyeka (Baby),398G0odwKJ892uyEYDlMBh,Twice As Tall,218CJKDCszsQQj7Amk7vIu,2020-08-13,38.0,False,0.825,0.685,D,-5.21,Major,0.0776,0.155,0.00977,0.102,0.304,102.03,4.0,,Album,03:22,2020,August,Thursday
Zingah,Ooo,0CYabImG5nKmsS2gqNPGDd,Ooo,6UUplLtUkYRYuQLutSAwYy,2018-01-08,17.0,True,0.834,0.676,F#/Gb,-7.839,Minor,0.352,0.302,0.0,0.556,0.78,75.011,4.0,"Maphorisa, Wizkid, Burna Boy",Feature,04:28,2018,January,Monday
Burna Boy,Outro: Remember Me,2NAtNEsLBjeoBBYf8C35t9,L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),5t1QPMQ3ssvP9gLLRPIckA,2013-08-12,24.0,False,0.406,0.513,G,-6.422,Minor,0.0518,0.018,0.0,0.364,0.234,78.008,4.0,,Album,03:40,2013,August,Monday
Stormzy,Own It (feat. Ed Sheeran & Burna Boy),4QPEwDdOMhY7rNS05mTyMR,Heavy Is The Head,3y4AaloFccKNLQcZNS9L8c,2019-12-13,65.0,False,0.817,0.781,G,-4.178,Minor,0.112,0.00838,5.21e-06,0.123,0.359,104.0,4.0,"Burna Boy, Ed Sheeran",Feature,03:36,2019,December,Friday
DJ Xclusive,Oyoyo,2Ub2LKkBcuXypdrTTUhhvp,According to X,2K68QnBW5jKb4BrYJAyI4t,2015-09-21,7.0,False,0.746,0.876,D,-3.666,Major,0.0576,0.0596,0.00226,0.182,0.562,116.022,4.0,Burna Boy,Feature,03:26,2015,September,Monday
"Young ""D""",PLAY AM REMIX,0Cr5LyY5D5X2nIiVFwWzMK,PLAY AM REMIX,4MfTExLURCkDC0JWcNZOL0,2019-06-21,21.0,False,0.723,0.888,C#/Db,-5.699,Major,0.155,0.25,0.0,0.0688,0.916,105.753,4.0,"Oritse Femi, Dj Norie, Burna Boy, Konshens",Feature,03:19,2019,June,Friday
