,artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,duration_ms,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
56,Young Thug,Me or Us,0JaN65P0DapRjboDEv2g08,Beautiful Thugger Girls,51KZKzPd3OQT1r46a55VTt,2017-06-16,43,True,0.682,157880,0.251,5,-12.824,1,0.244,0.664,1.06e-05,0.144,0.419,80.041,4,[]
58,Young Thug,Just How It Is,5OC4vQl6XKvsCzgrPwzY1q,So Much Fun (Deluxe),24jAbLMFzCTlIv3kQ94HwK,2019-12-20,41,True,0.611,207133,0.539,7,-10.617,1,0.411,0.0485,0.0,0.127,0.627,82.766,4,[]
60,Young Thug,Mad Dog,5vg13q0WVz8iamRtUjaVU0,BUSINESS IS BUSINESS,6qElaeK7SHsEzb8uV8eG3D,2023-06-23,44,True,0.648,229000,0.5,6,-6.263,0,0.198,0.0242,0.0,0.167,0.362,159.857,4,[]
61,Young Thug,Went Thru It,69eqSx7e4dIyEOhoPff0WS,BUSINESS IS BUSINESS (Metro's Version),0z2a9VgdVmkr0DInVJUgu6,2023-06-26,36,True,0.863,155733,0.66,2,-7.016,1,0.16,0.0312,6.08e-06,0.236,0.236,92.511,4,[]
62,Young Thug,Killed Before,0jPLBur1qXRfj3pbuJSX03,SUPER SLIMEY,187UNqZ7MX3neMYkkevmdm,2017-10-20,49,True,0.697,220707,0.675,7,-4.688,1,0.317,0.275,0.0,0.0767,0.292,158.133,4,[]
63,Young Thug,"Love You More (with Nate Ruess, Gunna & Jeff Bhasker)",4pUxYUHVKXWsgGhEhOu7R9,Punk,7IKkHmEk4It4cRdOYanyvW,2021-10-15,48,True,0.668,221913,0.376,6,-10.865,1,0.0575,0.575,0.00111,0.103,0.246,137.981,4,"['Gunna', 'Jeff Bhasker', 'Nate Ruess']"
64,Young Thug,Cars Bring Me Out (feat. Future),0GY3LiAOOOYIIDv53TXbjR,BUSINESS IS BUSINESS (Metro's Version),0z2a9VgdVmkr0DInVJUgu6,2023-06-26,39,True,0.759,202933,0.741,10,-6.065,0,0.171,0.0192,0.0,0.145,0.69,100.054,4,['Future']
65,Young Thug,Insure My Wrist (with Gunna),26PSkNzsEBx1BRRB4vY4n5,Punk,7IKkHmEk4It4cRdOYanyvW,2021-10-15,44,True,0.607,168863,0.646,8,-10.39,0,0.351,0.221,0.0,0.0744,0.547,86.009,4,['Gunna']
66,Young Thug,Dream (feat. Yak Gotti),1SkR9g1l9NipSZhZPJsbOT,Barter 6,0BsMZIueWsJLWng8A7sE8e,2015-04-16,46,True,0.854,181400,0.468,1,-6.506,1,0.384,0.0448,0.0,0.165,0.223,140.096,4,['Yak Gotti']
67,Young Thug,You Said (feat. Quavo),1gUakci7HwPcImtp0i79N3,Beautiful Thugger Girls,51KZKzPd3OQT1r46a55VTt,2017-06-16,47,True,0.577,402067,0.557,8,-6.894,1,0.114,0.147,0.0,0.21,0.177,119.977,4,['Quavo']
69,Young Thug,730,1WgUNPyPEUGIIysgCksJ7a,Rich Homie Cartel Vol 1,65LaTW7Q12QKrF9xcMFN8M,2014-12-09,34,True,0.779,246387,0.781,8,-3.501,1,0.121,0.108,0.0,0.21,0.225,126.979,4,[]
72,Young Thug,Oh U Went (feat. Drake),0AslrwYTun10F8W16o6LYd,BUSINESS IS BUSINESS,7CLo0dKR7Zk97M2TLO8mb8,2023-06-22,37,False,0.808,185333,0.78,5,-5.909,1,0.249,0.0469,0.0,0.102,0.488,136.038,4,['Drake']
73,Young Thug,Family Don't Matter (feat. Millie Go Lightly),445YTBOjx9kYThBepGA9au,Beautiful Thugger Girls,51KZKzPd3OQT1r46a55VTt,2017-06-16,47,True,0.63,295267,0.436,7,-10.218,1,0.433,0.172,0.0,0.429,0.691,145.066,4,['Millie Go Lightly']
76,Young Thug,She Wanna Party (feat. Millie Go Lightly),3WL6yCfh0zw2MxVSWSe0G1,Beautiful Thugger Girls,51KZKzPd3OQT1r46a55VTt,2017-06-16,43,True,0.578,250587,0.5,10,-6.656,0,0.271,0.125,0.0,0.235,0.388,104.095,5,['Millie Go Lightly']
77,Young Thug,King TROUP,6uJmfWyFMLGCjvvRF5mpG9,I'm Up,4sAB9WulPpnAcig7alDGTg,2016-02-05,48,True,0.641,225669,0.564,4,-8.006,0,0.406,0.397,0.0,0.179,0.523,86.636,3,[]
80,Young Thug,Bad Bad Bad (feat. Lil Baby),3Ih7VhpeRyTIabBEGSCEW5,So Much Fun (Deluxe),24jAbLMFzCTlIv3kQ94HwK,2019-12-20,44,True,0.974,149040,0.596,6,-8.888,1,0.184,0.0976,0.0,0.151,0.892,111.959,4,['Lil Baby']
81,Young Thug,Oh U Went (feat. Drake),45QTjP8zsLtJ1a3lPa10U1,BUSINESS IS BUSINESS (Metro's Version),0z2a9VgdVmkr0DInVJUgu6,2023-06-26,42,True,0.808,185333,0.789,7,-5.88,0,0.236,0.0517,0.0,0.0819,0.465,136.01,4,['Drake']
82,Young Thug,Yea Yea Yea,4tiWuxeSX1GbeBPt8osI6Z,Punk,7IKkHmEk4It4cRdOYanyvW,2021-10-15,41,True,0.867,144490,0.413,7,-8.487,0,0.465,0.353,0.0,0.117,0.54,98.035,4,[]
83,Young Thug,On the Run (feat. Offset),04yv0dtqVm9u745efIuxbZ,On the Run,6VCDStheOuhrQaoYbHP2iO,2018-09-24,44,True,0.964,263933,0.529,0,-7.748,1,0.187,0.00659,4.47e-06,0.0872,0.63,128.042,4,['Offset']
84,Young Thug,Amazing (feat. Jacquees),5mzmXn6NdCU9Gm6Q0rcBWT,Barter 6,0BsMZIueWsJLWng8A7sE8e,2015-04-16,41,True,0.595,218080,0.503,10,-8.691,0,0.609,0.461,0.0,0.0997,0.78,95.068,5,['Jacquees']
85,Young Thug,Do U Love Me,0whCNZKidgBNhuPW41vYpg,Beautiful Thugger Girls,51KZKzPd3OQT1r46a55VTt,2017-06-16,41,True,0.8,209573,0.607,8,-8.399,1,0.251,0.0134,0.0,0.257,0.713,101.926,4,[]
86,Young Thug,Hoodie (feat. BSlime & Lil Gotit),5edae1tuaQswnqiXcUlWRO,BUSINESS IS BUSINESS (Metro's Version),0z2a9VgdVmkr0DInVJUgu6,2023-06-26,35,True,0.506,215600,0.598,1,-8.476,1,0.415,0.000431,0.0,0.105,0.222,169.717,4,"['Bslime', 'Lil Gotit']"
87,Young Thug,Webbie (feat. Duke),6pRkwu4Pt9d7Ki6g4ppOYj,JEFFERY,7EpUpNUkkEGnaCvkcn1j4H,2016-08-26,47,True,0.696,235893,0.589,1,-7.033,0,0.295,0.123,0.0,0.134,0.273,78.52,4,['Duke']
