artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,type,duration,year,month,day_of_the_week
Young Thug,Real in My Veins (feat. T-Shyne),6yMU8B5bngQpBBcYaFWqBC,On the Run,6VCDStheOuhrQaoYbHP2iO,2018-09-24,32,True,0.635,0.632,F,-8.21,Minor,0.275,0.000185,0.0,0.0615,0.233,162.023,4,['T-Shyne'],Extended Playlst (EP),04:10,2018,September,Monday
Young Thug,Condo Music (feat. Wicced),7GdurizpDeZydmL5pXLMJu,1017 Thug,0ssPpXttlI7w2Z6CXiqWgR,2015-12-11,16,True,0.427,0.726,D#/Eb,-7.035,Minor,0.231,0.103,0.0,0.342,0.549,87.153,5,['Wicced'],Mixtape,03:11,2015,December,Friday
Young Thug,My Everything,1mYYKcpiFnoUwWuSGytnpf,I Came from Nothing 2,4k4w4MLXdY084qrbMGy9Sg,2011-12-20,25,True,0.762,0.834,G#/Ab,-5.973,Major,0.095,0.144,0.0,0.929,0.681,139.933,4,['Future'],Mixtape,04:13,2011,December,Tuesday
Young Thug,Up to Something,6UYK0GsMAVYahkd1ymBOEs,Up to Something,05FYRrxscCBj1C4MtOpK6U,2021-10-31,18,True,0.672,0.343,A#/Bb,-13.13,Minor,0.126,0.39,0.0,0.125,0.131,114.797,4,[],Single,02:47,2021,October,Sunday
Young Thug,Keep in Touch,1d0fw7g187GMnEZfE7AkCB,I Came from Nothing 2,4k4w4MLXdY084qrbMGy9Sg,2011-12-20,20,True,0.742,0.756,F,-6.424,Minor,0.225,0.0206,0.0,0.145,0.546,129.987,4,[],Mixtape,04:12,2011,December,Tuesday
Young Thug,Anybody (feat. Nicki Minaj),1ENV3FCYOTxnviLKYVhFOd,Anybody (feat. Nicki Minaj),2mokD1hK1M39O6mfqqMmN7,2018-07-25,24,False,0.899,0.467,B,-8.608,Minor,0.175,0.0407,2.8e-06,0.132,0.475,120.038,4,['Nicki Minaj'],Single,04:14,2018,July,Wednesday
Young Thug,Tick Tock,2e5UdW2KFm3PSc4rUBrd9i,Tick Tock,5cSDePm8sFcSRqzZNq7nyX,2021-08-19,21,False,0.947,0.678,B,-8.664,Minor,0.234,0.00923,0.0,0.153,0.621,134.033,4,[],Single,02:39,2021,August,Thursday
Young Thug,From A Man,7M3dwTlDdPkL7rl3lQDNQf,From A Man,7DhR55zzBamSKAZkJZ7G7B,2023-10-12,24,False,0.546,0.684,B,-6.479,Minor,0.188,0.00908,0.0,0.119,0.285,84.311,4,[],Single,03:27,2023,October,Thursday
Young Thug,Want Me Dead (feat. 21 Savage),4vqtQUDwWzkxevtz4Kz17d,BUSINESS IS BUSINESS,7CLo0dKR7Zk97M2TLO8mb8,2023-06-22,18,False,0.835,0.57,F#/Gb,-8.523,Minor,0.378,0.232,0.0,0.165,0.533,133.231,4,['21 Savage'],Studio Album,03:14,2023,June,Thursday
Young Thug,Sake Of My Kids,17ooiiAtRLDhGVNJ9UAkiZ,BUSINESS IS BUSINESS (Metro's Version),1E7ibA3gXudpo1LBfzSRdh,2023-06-25,19,False,0.951,0.404,C#/Db,-7.015,Minor,0.0658,0.03,0.0,0.195,0.165,124.974,4,[],Album Deluxe,03:58,2023,June,Sunday
Young Thug,Big Tipper (feat. Lil Keed),4vDMa3J8pVNxZEUFSmZTb1,So Much Fun,5AivpkHClIpmRxheNz1TzN,2019-08-15,12,False,0.887,0.57,D,-7.843,Major,0.219,0.000573,0.0,0.152,0.3,77.495,4,['Lil Keed'],Studio Album,03:43,2019,August,Thursday
Young Thug,Oooorrr,3PD2KvgTKspc3K44hxMWS8,I Came from Nothing 2,4k4w4MLXdY084qrbMGy9Sg,2011-12-20,18,True,0.714,0.764,A,-6.259,Minor,0.185,0.0166,0.0,0.381,0.589,147.065,4,"['Kumtie', 'Capokam']",Mixtape,04:07,2011,December,Tuesday
Young Thug,I'm fo Real,1XhVoHOwSYqdXhmOLkOojI,1017 Thug,0ssPpXttlI7w2Z6CXiqWgR,2015-12-11,18,True,0.567,0.601,C,-7.796,Major,0.109,0.28,0.0,0.456,0.673,132.992,4,[],Mixtape,03:06,2015,December,Friday
