,artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,duration_ms,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
342,Ed Sheeran,Happier - Tiësto’s AFTR:HRS Remix,1uuUnsWpJwqBh5GRQ8uxla,Happier (Tiësto’s AFTR:HRS Remix),5GpwroXObdnETiIpVb1l23,2018-06-01,35,False,0.684,216000,0.823,0,-4.881,1,0.0296,0.00576,7.42e-06,0.201,0.384,117.993,4,['Tiësto']
343,Ed Sheeran,Bad Habits - Jubël Remode,56sdkDe6fRAbhIbazIj5vd,Bad Habits (The Remixes),1cvxALyvpgUpRqxix4vhLK,2021-08-06,37,False,0.727,179201,0.652,2,-5.683,1,0.049,0.0527,1.17e-06,0.298,0.423,124.042,4,['Jubël']
344,Ed Sheeran,That’s On Me,4W8EmeDnNxqRXEeVSpHDn7,Autumn Variations (Fan Living Room Sessions),5bLE2kmkZWlzAYeb6To6LA,2023-10-02,34,True,0.822,227399,0.696,7,-6.275,1,0.114,0.634,0.0,0.0624,0.575,106.995,4,[]
345,Ed Sheeran,One Night,1IbGB3FLPDJjBX5i3S57rA,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,31,False,0.781,206440,0.836,6,-5.496,0,0.0658,0.379,0.0,0.289,0.636,94.989,4,[]
346,Ed Sheeran,Fire Alarms,4I7VRMbaqi6GdSkaSxe1he,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,33,False,0.602,144013,0.286,3,-9.886,1,0.0296,0.772,0.0,0.162,0.379,102.009,4,[]
347,Ed Sheeran,Thinking out Loud,7iIrkIn7Iba9u6vPI6lsoP,x (10th Anniversary Edition),1upLfaShcnjVjey0FdY7aO,2024-06-21,36,False,0.781,281560,0.445,2,-6.061,1,0.0296,0.474,0.0,0.184,0.591,78.998,4,[]
348,Ed Sheeran,Cold Coffee,7azGREVEBdh70Wt1IwKrhI,my forgotten favourites,4y3pLcRLyhwZmrTtODJzGJ,2024-09-04,34,False,0.544,254227,0.529,6,-6.753,1,0.0257,0.449,0.0,0.131,0.398,92.935,4,[]
349,Ed Sheeran,London Bridge,4zWxuASYcr7KhvNGMjvlDT,The Slumdon Bridge,3j70EKOaR5iVk0BPW6lowR,2011-09-09,23,False,0.695,294194,0.388,0,-15.157,0,0.315,0.393,0.000857,0.0591,0.319,93.041,4,['Yelawolf']
350,Ed Sheeran,Homeless,0jtTK6XjYj2L3Ge6jyK2sr,Loose Change,3QbPtoOWiJqZurXXxJwaOD,2011-12-09,33,False,0.754,210747,0.636,9,-7.129,1,0.193,0.519,0.0,0.108,0.875,90.001,4,[]
351,Ed Sheeran,Give Me Love,1NvOOkafczKxO5YXRR01ax,+,0W5GGnapMz0VwemQvJDqa7,2011-09-09,42,False,0.526,526387,0.328,1,-9.864,1,0.0461,0.694,0.0,0.112,0.11,116.068,4,[]
352,Ed Sheeran,Dive,5E4Z6ZXa3y1IbEav5yln65,kiss me under the light of a thousand stars,5uwmamGSJ3ayFsFflf8Wp5,2024-09-18,33,False,0.771,238440,0.386,4,-6.161,1,0.0386,0.355,0.0,0.0953,0.534,134.943,3,[]
353,Ed Sheeran,Sofa,2Z7RLfJdXXkXUmvMJxkNJo,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,30,False,0.646,199133,0.65,2,-6.491,1,0.0278,0.14,9.65e-06,0.0999,0.52,100.05,4,[]
354,Ed Sheeran,Bad Habits,5jRvUR9rwKALlZQ1EzGjBI,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,29,False,0.807,230747,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,4,[]
355,Ed Sheeran,Page,3pBpGx6jM4cQGzn1EMx963,Autumn Variations (Fan Living Room Sessions),5bLE2kmkZWlzAYeb6To6LA,2023-10-02,34,False,0.774,231022,0.604,2,-6.385,1,0.0404,0.623,3.48e-06,0.0889,0.62,146.081,4,[]
356,Ed Sheeran,Tenerife Sea,3lfL1IwZUec0NJinrtqOwo,kiss me under the light of a thousand stars,5uwmamGSJ3ayFsFflf8Wp5,2024-09-18,35,False,0.526,241347,0.345,8,-10.497,1,0.0374,0.7,1.13e-05,0.105,0.349,121.877,4,[]
357,Ed Sheeran,Put It All on Me (feat. Ella Mai),2xOjYQuhFCeqxdUsf74gSp,Put It All on Me (feat. Ella Mai),4es0SCGoooYKR36713JWNz,2019-07-11,30,False,0.627,197093,0.594,7,-8.306,1,0.0478,0.253,0.0,0.373,0.389,101.008,4,['Ella Mai']
358,Ed Sheeran,Magical,3DFz7ltSLaohq7oVfNgaE5,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,29,False,0.658,194277,0.632,8,-8.492,1,0.0298,0.748,7.33e-05,0.169,0.464,135.924,4,[]
359,Ed Sheeran,Love in Slow Motion,0HjhRans4PQEED9zzlUlqs,kiss me under the light of a thousand stars,5uwmamGSJ3ayFsFflf8Wp5,2024-09-18,34,False,0.485,190933,0.54,1,-5.4,1,0.0253,0.668,0.0,0.0849,0.426,62.631,4,[]
360,Ed Sheeran,Little Bird,7sGK98k8lv3hzRznoN909t,Loose Change,3QbPtoOWiJqZurXXxJwaOD,2011-12-09,33,False,0.826,226067,0.485,8,-7.424,1,0.0354,0.569,0.0,0.107,0.278,104.011,4,[]
361,Ed Sheeran,Bloodstream,2B5xLvyO0T52MKKWlCozQf,x (10th Anniversary Edition),1upLfaShcnjVjey0FdY7aO,2024-06-21,36,False,0.66,300253,0.315,3,-11.567,0,0.0364,0.528,0.000298,0.104,0.542,91.207,4,[]
362,Ed Sheeran,Shivers,2UMxj7lIU7e7BncxNQG0HB,Shivers (feat. Jessi & SUNMI),7HRCvQbIY5cRkgCkSM0vO3,2021-10-28,30,False,0.788,207853,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,4,[]
363,Ed Sheeran,Put It All on Me (feat. Ella Mai),2neYa7NyqIuPR67tehREKZ,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,31,False,0.627,197093,0.594,7,-8.306,1,0.0479,0.256,0.0,0.373,0.388,101.007,4,['Ella Mai']
364,Ed Sheeran,Sofa,5VAd82Nigp6Qdbl2zln1cl,Loose Change,3QbPtoOWiJqZurXXxJwaOD,2011-12-09,33,False,0.646,199133,0.65,2,-6.491,1,0.0278,0.14,9.65e-06,0.0999,0.52,100.05,4,[]
